Lat,Long,WellName,Tdepth,Test,Source,C1,C2,C3,iC4,nC4,iC5,nC5,C6,C7,C8+,CO2,N2,H2S,SG,GHV,Total
241492.5603,917098.3957,CV-4X,"-2,288.8",RDT,VPI,72.32,6.31,5.21,0.96,0.77,0.27,0.14,0.13,0.10,0.06,11.80,1.93,,0.7980,1063.0,100.00
241492.5603,917098.3957,CV-4X,"-2,558.8",RDT,SKL Lab,66.89,8.30,5.49,1.20,1.03,0.30,0.18,0.14,0.06,0.02,15.76,0.63,,0.8524,1061.0,100.00
241492.5603,917098.3957,CV-4X,"-2,558.8",RDT,VPI,66.90,9.05,5.58,1.27,1.10,0.39,0.25,0.37,0.33,0.09,14.17,0.50,,0.8580,1122.0,100.00
234041.8396,939421.1579,VD-1X,"-1,782.9",HSFT-2,SKL Lab,81.42,2.31,1.32,0.33,0.16,0.10,0.00,0.02,0.00,0.01,5.49,8.84,,0.6785,906.1,100.00
234041.8396,939421.1579,VD-1X,"-1,782.9",HSFT-2,VPI,81.25,2.25,1.80,0.47,0.21,0.09,0.05,0.05,0.03,0.00,5.08,8.73,,0.6819,939.0,100.00
234041.8396,939421.1579,VD-1X,"-1,786.7",HSFT-3,SKL Lab,80.28,3.19,2.39,0.70,0.41,0.18,0.14,0.18,0.22,0.13,5.98,5.84,,,,99.64
234041.8396,939421.1579,VD-1X,"-1,786.7",HSFT-3,VPI,80.03,3.06,2.63,0.78,0.47,0.14,0.06,0.06,0.04,0.01,5.95,6.78,,0.7043,984.0,100.00
234041.8396,939421.1579,VD-1X,"-1,786.7",HSFT-3,Isotech,75.94,2.86,2.13,0.64,0.37,0.15,0.09,0.40,,,5.65,10.71,,0.7220,936.0,98.93
234041.8396,939421.1579,VD-1X,"-1,962.6",HSFT-1,SKL Lab,72.89,8.17,6.79,1.09,1.00,0.20,0.12,0.05,0.01,0.00,8.33,1.35,,0.7858,"1,122.2",100.00
234041.8396,939421.1579,VD-1X,"-1,962.6",HSFT-1,VPI,71.57,8.22,7.77,1.37,1.16,0.32,0.17,0.11,0.06,0.01,7.92,1.32,,0.8017,1178.0,100.00
234041.8396,939421.1579,VD-1X,"-1,970.8",HSFT-4,SKL Lab,72.60,8.27,6.91,1.11,1.02,0.21,0.13,0.05,0.01,0.00,8.36,1.33,,0.7886,"1,126.2",100.00
234041.8396,939421.1579,VD-1X,"-1,970.8",HSFT-4,VPI,71.04,8.28,7.83,1.40,1.39,0.30,0.19,0.18,0.12,0.02,7.98,1.29,,0.8103,1191.0,100.01
234041.8396,939421.1579,VD-1X,"-1,970.8",HSFT-4,Isotech,73.17,8.28,6.62,1.05,0.94,0.19,0.12,0.20,,,8.04,1.37,,0.7810,1145.0,99.98
256260.301,926934.4832,AQ-1X,"-2,299.3",MDT,VPI,88.77,3.90,0.07,0.02,0.02,0.04,0.03,0.05,0.03,0.01,5.28,1.80,,,977.0,100.00
256260.301,926934.4832,AQ-1X,"-2,358.3",MDT,VPI,87.32,4.40,0.12,0.02,0.02,0.03,0.02,0.04,0.02,0.00,6.23,1.79,,,971.0,100.00
256260.301,926934.4832,AQ-1X,"-2,358.3",MDT,SKL Lab,89.60,1.59,0.13,0.02,0.02,0.01,0.01,0.01,0.01,0.00,6.68,1.92,,0.6379,927.0,100.00
256260.301,926934.4832,AQ-1X,"-2,358.3",MDT,Isotech,90.13,1.45,0.13,0.02,0.02,0.01,0.01,0.02,,,6.41,1.80,,,,99.99
256260.301,926934.4832,AQ-1X,"-2,493.9",MDT,VPI,88.94,1.77,0.25,0.04,0.05,0.05,0.03,0.08,0.07,0.02,6.99,1.72,,,952.0,100.00
256260.301,926934.4832,AQ-1X,"-2,493.9",MDT,SKL Lab,84.71,2.31,0.25,0.03,0.04,0.02,0.02,0.02,0.01,0.00,7.16,5.43,,0.6628,896.0,100.00
256260.301,926934.4832,AQ-1X,"-2,493.9",MDT,Isotech,85.25,2.15,0.25,0.03,0.04,0.01,0.01,0.01,,,6.86,4.55,,,,99.16
256260.301,926934.4832,AQ-1X,"-2,737.9",MDT,VPI,76.31,0.95,0.10,0.04,0.02,0.03,0.01,0.04,0.01,0.00,20.52,1.98,,,797.0,100.00
256260.301,926934.4832,AQ-1X,"-2,828.9",MDT,Isotech,54.73,0.67,0.06,0.02,0.01,0.00,0.00,0.01,,,42.83,1.67,,,,99.99
256260.301,926934.4832,AQ-1X,"-2,828.9",MDT,SKL Lab,55.88,0.88,0.06,0.02,0.01,0.01,0.00,0.00,0.00,0.00,41.34,1.80,,0.9686,576.0,100.00
256260.301,926934.4832,AQ-1X,"-2,828.9",MDT,VPI,55.19,0.56,0.09,0.05,0.07,0.07,0.08,0.13,0.07,0.02,41.98,1.69,,,591.0,100.00
256260.301,926934.4832,AQ-1X,"-2,732.9",TST-1,Isotech,74.49,1.18,0.12,0.04,0.03,0.02,0.01,0.10,,,22.13,1.87,,,,99.99
256260.301,926934.4832,AQ-1X,"-2,732.9",TST-1,SKL Lab,74.21,1.37,0.12,0.04,0.03,0.03,0.03,0.03,0.07,0.01,22.08,1.98,,0.7901,777.0,100.00
256260.301,926934.4832,AQ-1X,"-2,732.9",TST-1,VPI,73.66,1.30,0.11,0.05,0.03,0.02,0.02,0.03,0.07,0.00,22.73,1.98,,,779.0,100.00
256260.301,926934.4832,AQ-1X,"-2,732.9",TST-1,VPI,73.71,1.30,0.11,0.05,0.03,0.02,0.02,0.04,0.09,0.01,22.65,1.98,,,781.0,100.00
256260.301,926934.4832,AQ-1X,"-2,340.7",TST-2,VPI,89.00,1.40,0.22,0.03,0.03,0.02,0.02,0.02,0.04,0.01,7.39,1.84,,,935.0,100.00
256260.301,926934.4832,AQ-1X,"-2,340.7",TST-2,VPI,88.80,1.40,0.22,0.03,0.03,0.02,0.02,0.03,0.05,0.00,7.51,1.90,,,935.0,100.00
256260.301,926934.4832,AQ-1X,"-2,295.2",TST-3,VPI,88.97,1.92,0.38,0.04,0.04,0.02,0.02,0.22,0.12,0.01,6.69,1.58,,,963.0,100.00
256260.301,926934.4832,AQ-1X,"-2,295.2",TST-3,VPI,89.35,1.93,0.26,0.04,0.04,0.02,0.02,0.03,0.06,0.00,6.74,1.51,,,952.0,100.00
256260.301,926934.4832,AQ-1X,"-2,295.2",TST-3,SKL Lab,89.21,1.91,0.19,0.04,0.04,0.02,0.02,0.03,0.06,0.00,6.91,1.57,,0.6438,936.0,100.00
256260.301,926934.4832,AQ-1X,"-2,297.3",TST-3,Isotech,89.77,1.76,0.18,0.04,0.04,0.02,0.02,0.12,,,6.61,1.44,,,,99.99
255880.7639,945034.5448,KL-1X,"-2,429.6",TST-2,Lab,87.02,2.90,0.34,0.09,0.06,0.05,0.02,0.04,0.09,0.02,8.70,0.53,,,960.0,99.84
255880.7639,945034.5448,KL-1X,"-2,023.4",TST-3,Lab,90.92,3.21,0.46,0.10,0.08,0.05,0.03,0.04,0.04,0.01,4.23,0.63,,,1007.0,99.80
255779.3996,949948.8475,KL-2X,"-1,667.7",MDT,VPI,94.79,1.25,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.78,,,984.0,100.00
255779.3996,949948.8475,KL-2X,"-1,667.7",MDT,SKL Lab,94.63,1.23,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,3.97,,0.5788,966.0,100.00
255779.3996,949948.8475,KL-2X,"-1,667.7",MDT,Isotech,95.04,1.13,0.05,0.00,0.00,0.00,0.00,0.00,,,0.00,3.74,,,,99.97
255779.3996,949948.8475,KL-2X,"-1,868.9",MDT,VPI,86.67,1.55,0.28,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.95,1.54,,,910.0,100.00
255779.3996,949948.8475,KL-2X,"-1,868.9",MDT,SKL Lab,87.66,0.94,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,3.57,,0.6499,891.0,100.00
255779.3996,949948.8475,KL-2X,"-1,868.9",MDT,Isotech,88.15,0.83,0.03,0.00,0.00,0.00,0.00,0.00,,,7.50,3.45,,,,99.97
255779.3996,949948.8475,KL-2X,"-2,078.1",MDT,VPI,83.67,0.60,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.36,3.50,,,882.0,100.00
255779.3996,949948.8475,KL-2X,"-2,078.6",MDT,SKL Lab,84.48,0.57,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.45,3.48,,0.6830,853.0,100.00
255779.3996,949948.8475,KL-2X,"-2,078.6",MDT,Isotech,84.95,0.49,0.01,0.00,0.00,0.00,0.00,0.00,,,11.29,3.22,,,,99.97
255779.3996,949948.8475,KL-2X,"-2,109.6",MDT,VPI,78.45,1.22,0.07,0.02,0.01,0.00,0.00,0.00,0.00,0.00,17.42,2.82,,,819.0,100.00
255779.3996,949948.8475,KL-2X,"-2,109.6",MDT,SKL Lab,78.02,1.27,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.77,2.87,,0.7457,802.0,100.00
255779.3996,949948.8475,KL-2X,"-2,109.6",MDT,Isotech,78.44,1.10,0.07,0.01,0.01,0.00,0.00,0.00,,,17.74,2.61,,,,99.98
255779.3996,949948.8475,KL-2X,"-2,125.0",MDT,VPI,76.67,1.43,0.12,0.02,0.01,0.00,0.00,0.00,0.00,0.00,19.36,2.37,,,804.0,100.00
255779.3996,949948.8475,KL-2X,"-2,125.0",MDT,SKL Lab,76.33,1.45,0.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,19.63,2.47,,0.7635,790.0,100.00
255779.3996,949948.8475,KL-2X,"-2,125.0",MDT,Isotech,76.49,1.29,0.10,0.02,0.01,0.00,0.00,0.00,,,19.75,2.31,,,,99.98
255779.3996,949948.8475,KL-2X,"-2,136.0",MDT,Isotech,76.13,1.11,0.07,0.01,0.01,0.00,0.00,0.00,,,20.32,2.32,,,,99.97
255779.3996,949948.8475,KL-2X,"-2,136.0",MDT,SKL Lab,75.88,1.28,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.30,2.46,,0.7687,781.0,100.00
255779.3996,949948.8475,KL-2X,"-2,136.0",MDT,VPI,76.22,1.23,0.06,0.02,0.01,0.00,0.00,0.00,0.00,0.00,20.05,2.42,,,797.0,100.00
259207.7091,940177.4202,KL-3X,"-1,416.2",MDT,VPI,92.90,2.38,1.05,0.32,0.10,0.05,0.02,0.03,0.00,0.00,1.34,1.81,,,1025.0,100.00
259207.7091,940177.4202,KL-3X,"-1,416.2",MDT,SKL Lab,92.87,2.32,0.69,0.29,0.08,0.05,0.02,0.02,0.00,0.00,1.52,2.14,,0.6036,999.0,100.00
259207.7091,940177.4202,KL-3X,"-1,416.2",MDT,Isotech,93.22,2.21,0.69,0.31,0.09,0.05,0.02,0.03,,,1.36,1.98,,,,99.96
259207.7091,940177.4202,KL-3X,"-1,762.1",MDT,SKL Lab,90.41,3.31,0.82,0.26,0.13,0.06,0.03,0.03,0.01,0.00,3.04,1.90,,0.6247,998.0,100.00
259207.7091,940177.4202,KL-3X,"-1,762.1",MDT,VPI,90.44,3.43,1.23,0.30,0.16,0.06,0.04,0.04,0.01,0.00,2.87,1.43,,,1026.0,100.01
259207.7091,940177.4202,KL-3X,"-1,762.1",MDT,Isotech,90.56,3.26,0.87,0.30,0.17,0.08,0.05,0.10,,,2.86,1.75,,,,99.99
259207.7091,940177.4202,KL-3X,"-2,361.5",MDT,VPI,87.85,3.00,0.83,0.06,0.09,0.01,0.02,0.02,0.01,0.00,6.06,2.05,,,969.0,99.99
259207.7091,940177.4202,KL-3X,"-2,361.5",MDT,SKL Lab,87.64,2.93,0.45,0.07,0.08,0.01,0.01,0.01,0.01,0.00,6.38,2.41,,0.6483,943.0,100.00
259207.7091,940177.4202,KL-3X,"-2,361.5",MDT,Isotech,88.14,2.79,0.46,0.07,0.08,0.01,0.01,0.02,,,6.13,2.24,,,,99.95
259207.7091,940177.4202,KL-3X,"-2,532.5",MDT,VPI,64.31,1.43,0.45,0.06,0.04,0.03,0.02,0.05,0.02,0.00,31.90,1.73,,,693.0,100.02
259207.7091,940177.4202,KL-3X,"-2,532.5",MDT,SKL Lab,65.43,1.44,0.13,0.04,0.03,0.02,0.01,0.02,0.01,0.00,31.04,1.83,,0.8739,686.0,100.00
259207.7091,940177.4202,KL-3X,"-2,532.5",MDT,Isotech,64.96,1.22,0.12,0.04,0.02,0.01,0.01,0.03,,,31.87,1.71,,,,99.99
259207.7091,940177.4202,KL-3X,"-2,575.4",MDT,VPI,65.58,1.35,0.39,0.04,0.02,0.01,0.01,0.03,0.01,0.00,30.80,1.76,,,701.0,100.01
259207.7091,940177.4202,KL-3X,"-2,575.4",MDT,SKL Lab,65.78,1.43,0.12,0.03,0.02,0.02,0.02,0.03,0.01,0.00,30.49,2.05,,0.8695,689.0,100.00
259207.7091,940177.4202,KL-3X,"-2,575.4",MDT,Isotech,65.39,1.22,0.12,0.03,0.02,0.01,0.01,0.02,,,31.27,1.87,,,,99.96
259207.7091,940177.4202,KL-3X,"-2,600.9",MDT,Isotech,70.92,1.35,0.15,0.04,0.03,0.01,0.01,0.02,,,25.48,1.96,,,,99.97
259207.7091,940177.4202,KL-3X,"-2,600.9",MDT,SKL Lab,70.92,1.55,0.15,0.05,0.04,0.02,0.02,0.01,0.01,0.00,25.13,2.10,,0.8187,744.0,100.00
259207.7091,940177.4202,KL-3X,"-2,600.9",MDT,VPI,70.15,1.47,0.43,0.05,0.02,0.02,0.01,0.01,0.00,0.00,25.66,1.98,,,749.0,99.80
259207.7091,940177.4202,KL-3X,"-2,532.5",MDT 2-18,Isotech,64.94,1.36,0.73,0.04,0.03,0.02,0.01,0.03,0.01,0.00,31.19,1.66,,,704.0,100.01
259207.7091,940177.4202,KL-3X,"-1,762.1",MDT 2-7,Isotech,90.70,3.48,0.44,0.32,0.18,0.09,0.05,0.06,0.03,0.00,2.84,1.63,,,1017.0,99.80
255329.3627,948472.3796,KL-4X,"-1,376.6",MDT-1,VPI,90.31,2.61,0.43,0.12,0.10,0.05,0.04,0.01,0.00,0.00,2.15,4.17,,0.6140,982.6,100.00
255329.3627,948472.3796,KL-4X,"-1,568.5",MDT-1,VPI,92.73,2.50,0.35,0.07,0.02,0.02,0.01,0.02,0.00,0.00,1.49,2.80,,0.5975,996.3,100.00
255329.3627,948472.3796,KL-4X,"-1,654.7",MDT-2,VPI,90.76,3.22,0.60,0.17,0.08,0.04,0.02,0.02,0.00,0.00,2.57,2.52,,0.6158,"1,002.3",100.00
255329.3627,948472.3796,KL-4X,"-1,763.8",MDT-2,Isotech,91.77,2.66,0.36,0.07,0.04,0.01,0.00,0.00,0.00,0.00,2.53,2.54,,,974.3,99.98
255329.3627,948472.3796,KL-4X,"-1,763.8",MDT-2,VPI,90.95,2.83,0.39,0.07,0.04,0.02,0.01,0.01,0.00,0.00,2.45,3.23,,0.6107,985.6,100.00
255329.3627,948472.3796,KL-4X,"-1,667.9",MDT-3,Isotech,90.92,3.13,0.60,0.18,0.10,0.04,0.02,0.03,0.00,0.00,2.60,2.35,,,989.1,99.98
251981.319,960744.8076,TXT-3X,"-1,750.3",HSFT-1,SKL Lab,89.51,2.30,0.39,0.11,0.04,0.00,0.00,0.00,0.00,0.00,4.76,2.89,,0.6300,947.0,100.00
251981.319,960744.8076,TXT-3X,"-1,750.3",HSFT-1,VPI,89.34,2.20,0.84,0.23,0.09,0.03,0.02,0.01,0.03,0.02,4.39,2.80,,0.6339,980.0,100.00
251981.319,960744.8076,TXT-3X,"-1,751.0",HSFT-2,SKL Lab,89.60,2.16,0.34,0.09,0.00,0.00,0.00,0.01,0.00,0.00,4.53,3.27,,0.6276,942.7,100.00
251981.319,960744.8076,TXT-3X,"-1,751.0",HSFT-2,VPI,89.62,2.14,0.79,0.21,0.07,0.02,0.01,0.00,0.00,0.00,4.23,2.91,,0.6295,975.0,100.00
251981.319,960744.8076,TXT-3X,"-1,751.0",HSFT-2,Isotech,89.97,2.02,0.36,0.09,0.04,0.01,0.01,0.04,,,4.19,3.22,,0.6240,964.0,99.95
